d,M,gamma_opt,MSE_base,MSE_hybrid
1,200,2.6061747317871284,1.2056822786272502e-18,2.695495930857055e-09
2,200,1.9155333167598396,1.2600995162900043e-09,3.8321626894064695e-07
3,200,1.8063087535016278,0.32302870770873465,0.3231849885356672
4,200,1.7219338116055884,6.121014563398166,6.245034527374962
5,200,3.6501124323451566,2.8672623047937744,3.405087055069093
6,200,3.655066526737803,1.079728510939053,1.3396663665582058
7,200,30.182818727251334,0.0086476542845143,0.130965408227428
8,200,79.99999760403402,0.005067170221806751,0.12110085465408596
9,200,15.828981484393463,0.006158744307674687,0.11636300396293021
10,200,68.60245450803481,0.0007879218306673827,0.07471475978286435
1,400,12.732691413751983,8.071455901723957e-18,6.842534431841134e-09
2,400,2.1501079707367756,6.404597872132946e-11,3.0771807660588183e-07
3,400,1.634927009642254,0.0018262262568037948,0.0018278672464865768
4,400,2.088335338955382,2.4564516098672944,2.4647766337247705
5,400,3.4284710447269386,5.261855515339957,5.624068199039494
6,400,3.9635514095453837,1.289020482061121,1.495605826710638
7,400,5.034978345041674,0.5559513889957459,0.6994863081534308
8,400,4.423326358078531,0.22101066781983303,0.3935915616926347
9,400,45.128525904680465,37.720096634937995,37.879751514242386
10,400,12.177720313895978,0.006794482587921123,0.11161952070579337
1,800,2.421628330048465,3.2383370930484763e-20,1.6031384309443492e-09
2,800,3.018710322202893,1.117771039322695e-12,8.498774129373564e-08
3,800,1.7590326742395395,2.6766079415636747e-05,2.800608495659985e-05
4,800,2.3203703933155655,0.8336165565517748,0.8336820384604016
5,800,2.7085495938346265,3.999328383619929,3.9901930571435034
6,800,4.546601113010062,2.097810960440711,2.280600002682211
7,800,6.6271547955770576,0.30030808871304376,0.40582673005645553
8,800,5.782188087776,0.4518743073217649,0.5568692755430923
9,800,4.007925120108918,0.3820810061421826,0.5014106772442022
10,800,79.9971860149976,0.025402205931268,0.10733959918372807
